Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
FPT,HOSE,24/12/2020,,33964,34141,33314,33668,2386210,135818188000
FPT,HOSE,25/12/2020,,33668,34023,33432,34023,1625110,93086103999.9997
FPT,HOSE,28/12/2020,,34200,34614,33964,34200,2197090,127193822000
FPT,HOSE,29/12/2020,,34200,34732,34023,34614,2172950,127021874000
FPT,HOSE,30/12/2020,,34791,34791,34318,34318,1204180,70498310999.9996
FPT,HOSE,31/12/2020,,34318,34968,34259,34909,2036370,119344409999.9990
FPT,HOSE,04/01/2021,,35204,35559,35027,35559,2151300,128595730000
FPT,HOSE,05/01/2021,,35440,37508,35322,37035,2332200,145355050000.0020
FPT,HOSE,06/01/2021,,37272,37567,36799,36858,1796000,112928410000.0010
FPT,HOSE,07/01/2021,,36976,37153,36563,36917,2150200,133881630000
FPT,HOSE,08/01/2021,,37212,37626,36976,37390,2720400,171836120000
FPT,HOSE,11/01/2021,,37744,38217,37390,38217,1972800,126215660000
FPT,HOSE,12/01/2021,,38394,38985,37803,38866,2435200,158666299999.9990
FPT,HOSE,13/01/2021,,38925,39811,38925,39280,2612000,174208660000.0010
FPT,HOSE,14/01/2021,,39280,39575,38807,39221,1777500,117806130000
FPT,HOSE,15/01/2021,,39575,39575,39221,39339,1540400,102695650000
FPT,HOSE,18/01/2021,,39575,39575,39103,39162,1209000,80503970000
FPT,HOSE,19/01/2021,,38985,39044,36445,36622,3505600,222586010000.0020
FPT,HOSE,20/01/2021,,37035,37626,35559,37390,3663800,228639610000
FPT,HOSE,21/01/2021,,38099,38866,37390,38748,2313100,149180140000
FPT,HOSE,22/01/2021,,38807,39871,38630,39516,2090300,139283100000
FPT,HOSE,25/01/2021,,39457,40284,39103,39575,3111900,209992009999.9990
FPT,HOSE,26/01/2021,,39871,39871,38689,38985,2597500,172481320000
FPT,HOSE,27/01/2021,,38807,39044,37153,37212,2226800,144065489999.9990
FPT,HOSE,28/01/2021,,35440,36799,34614,34614,5092400,307139489999.9860
FPT,HOSE,29/01/2021,,34850,37035,34850,37035,3211900,198439559999.9990
FPT,HOSE,01/02/2021,,38039,38630,36799,37508,2017400,128595840000
FPT,HOSE,02/02/2021,,37272,38985,37212,38985,3264600,210948519999.9980
FPT,HOSE,03/02/2021,,39871,41702,39044,41347,4173500,285275399999.9990
FPT,HOSE,04/02/2021,,41465,43237,41465,42824,4398700,316749480000
FPT,HOSE,05/02/2021,,43119,43356,42410,43060,2084900,151078140000.0010
FPT,HOSE,08/02/2021,,43060,43060,41111,42115,4035600,286580179999.9980
FPT,HOSE,09/02/2021,,42174,44064,41347,44064,4224300,306797570000
FPT,HOSE,17/02/2021,,45068,46663,44832,46014,3139100,245160940000
FPT,HOSE,18/02/2021,,46073,46250,45246,46191,2243100,174086680000
FPT,HOSE,19/02/2021,,45659,46073,44891,45246,3722700,286636290000.0040
FPT,HOSE,22/02/2021,,45246,45777,44950,45364,2319300,177883020000
FPT,HOSE,23/02/2021,,45068,45482,44064,44596,3369500,256364349999.9990
FPT,HOSE,24/02/2021,,44891,45187,44242,44537,2225200,168322320000
FPT,HOSE,25/02/2021,,44950,45068,44005,45009,1927500,145888610000
FPT,HOSE,26/02/2021,,44301,45128,44242,45009,1936000,146799180000
FPT,HOSE,01/03/2021,,45364,46073,45364,46014,2078100,161152430000
FPT,HOSE,02/03/2021,,46604,46604,45423,46014,1821700,141973170000
FPT,HOSE,03/03/2021,,46073,46132,45718,45895,1599400,124365900000
FPT,HOSE,04/03/2021,,45895,45954,44360,44832,2901500,222177059999.9980
FPT,HOSE,05/03/2021,,44596,44891,44005,44832,2507500,188623609999.9990
