Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
MWG,HOSE,16/12/2020,,37932,37932,37671,37769,910670,105092390000
MWG,HOSE,17/12/2020,,37769,37802,37115,37115,1496400,171357392000
MWG,HOSE,18/12/2020,,37115,37605,36951,37605,1086810,124010214000
MWG,HOSE,21/12/2020,,37605,38194,37507,37998,1158010,133896121000
MWG,HOSE,22/12/2020,,37998,39240,37736,39208,2236430,263084913000.0010
MWG,HOSE,23/12/2020,,39273,39666,38619,38619,995990,119996493000
MWG,HOSE,24/12/2020,,38619,39077,37605,38161,1132960,132646549000
MWG,HOSE,25/12/2020,,37932,38913,37867,38750,1008790,118387907999.9990
MWG,HOSE,28/12/2020,,38783,39110,38259,38358,933380,110598816000
MWG,HOSE,29/12/2020,,38358,38586,38292,38325,702300,82458973000.0002
MWG,HOSE,30/12/2020,,38325,38881,38259,38358,860030,101389175000
MWG,HOSE,31/12/2020,,38358,39077,38358,38881,891550,105861399000
MWG,HOSE,04/01/2021,,39077,39437,39012,39437,1147400,137696610000
MWG,HOSE,05/01/2021,,39240,40091,39110,39862,967500,117621569999.9990
MWG,HOSE,06/01/2021,,40221,40221,39469,39666,995500,121232730000
MWG,HOSE,07/01/2021,,39404,39633,39142,39502,1118100,134616560000
MWG,HOSE,08/01/2021,,39502,40189,39502,39829,1277600,155919850000
MWG,HOSE,11/01/2021,,39894,41333,39894,41268,1504500,187065580000
MWG,HOSE,12/01/2021,,41268,41333,40843,41268,1352600,170145560000
MWG,HOSE,13/01/2021,,41268,41726,41235,41268,1101300,140015570000
MWG,HOSE,14/01/2021,,41268,41955,41202,41824,1433000,181805759999.9990
MWG,HOSE,15/01/2021,,41856,41955,41628,41791,845000,108068700000
MWG,HOSE,18/01/2021,,41791,41856,41268,41333,768800,97498489999.9999
MWG,HOSE,19/01/2021,,41104,41333,38586,39240,1659900,203257580000
MWG,HOSE,20/01/2021,,39567,40156,37932,40156,1682900,202339830000
MWG,HOSE,21/01/2021,,40712,41170,40156,40875,1034000,128653550000
MWG,HOSE,22/01/2021,,40875,41660,40810,41595,1422700,179617580000
MWG,HOSE,25/01/2021,,41628,43295,41595,43164,2134100,279019110000.0020
MWG,HOSE,26/01/2021,,43459,43655,42543,43164,1356200,178706230000
MWG,HOSE,27/01/2021,,43001,44113,42870,43655,2106900,280543970000
MWG,HOSE,28/01/2021,,41039,42576,40614,40614,1843300,231165270000.0020
MWG,HOSE,29/01/2021,,40385,43393,38913,43393,2812400,356536850000
MWG,HOSE,01/02/2021,,42510,42805,40385,40450,2508200,316187000000
MWG,HOSE,02/02/2021,,40221,41955,39404,41856,1400700,174671390000
MWG,HOSE,03/02/2021,,41856,42282,40581,41693,1798800,229296060000
MWG,HOSE,04/02/2021,,41693,42805,41039,42020,1597800,205586990000
MWG,HOSE,05/02/2021,,42020,42936,41856,42674,1479700,191507510000
MWG,HOSE,08/02/2021,,42510,42609,41137,42020,1952500,249241170000.0020
MWG,HOSE,09/02/2021,,41856,42510,41202,42347,1326800,170530280000.0010
MWG,HOSE,17/02/2021,,42674,45127,42674,45127,2121400,288081150000.0030
MWG,HOSE,18/02/2021,,45127,45748,44505,45617,1550600,214530640000
MWG,HOSE,19/02/2021,,45159,45454,44800,44996,727200,100264100000
MWG,HOSE,22/02/2021,,44800,45094,44211,44800,996100,136552920000.0010
MWG,HOSE,23/02/2021,,44636,45388,43491,44538,1867800,253720519999.9990
MWG,HOSE,24/02/2021,,44800,44963,43655,43753,1009200,136241860000
MWG,HOSE,25/02/2021,,44146,44407,43524,44374,659600,88758869999.9999
MWG,HOSE,26/02/2021,,43655,44374,43524,44146,1163300,156572720000
MWG,HOSE,01/03/2021,,44800,44800,43818,44080,1200200,161817160000
MWG,HOSE,02/03/2021,,44309,44538,43982,44407,571000,77334159999.9999
MWG,HOSE,03/03/2021,,44734,44800,44407,44538,755600,103018260000
MWG,HOSE,04/03/2021,,44603,44701,42510,43426,893000,119909240000
MWG,HOSE,05/03/2021,,43263,43295,42641,43230,844200,111014870000
MWG,HOSE,08/03/2021,,43230,43590,42739,42772,750000,98712590000.0005
MWG,HOSE,09/03/2021,,42510,42510,41824,41889,1485600,190741469999.9990
MWG,HOSE,10/03/2021,,42183,42739,41529,42674,724600,93407490000
MWG,HOSE,11/03/2021,,43230,43459,43001,43328,513500,67915690000
MWG,HOSE,12/03/2021,,43491,43491,42674,42870,414300,54545900000.0001
MWG,HOSE,15/03/2021,,42870,43786,42707,43393,766800,101707540000
